Period,Area,Slack,Actual Period,Area*Period
3.6,683114.4799,-0.3,3.9,2664146.472
3.7,702617.6492,-0.1,3.8,2669947.067
3.8,696353.4329,-0.09,3.89,2708814.854
4,669685.4607,-0.07,4.07,2725619.825
4.1,665817.4902,-0.03,4.13,2749826.235
4.2,666320.5797,-0.02,4.22,2811872.846
3.9,677609.1219,-0.28,4.18,2832406.129
4.3,660641.1112,0,4.3,2840756.778
4.4,664272.5544,0,4.4,2922799.239
4.5,663385.1081,0,4.5,2985232.986
4.6,664255.1902,0,4.6,3055573.875
4.7,661888.5104,0,4.7,3110875.999
4.8,664434.932,0,4.8,3189287.674
4.9,663316.5902,0,4.9,3250251.292
5,663244.318,0,5,3316221.59
